converstion_type,read_write_permission,file_type
image,read_and_write,BMP
image,read_and_write,EPS
image,read_and_write,GIF
image,read_and_write,ICNS
image,read_and_write,ICO
image,read_and_write,IM
image,read_and_write,JPEG
image,read_and_write,JPEG 2000
image,read_and_write,MSP
image,read_and_write,PCX
image,read_and_write,PNG
image,read_and_write,PPM
image,read_and_write,SGI
image,read_and_write,SPIDER
image,read_and_write,TIFF
image,read_and_write,WEBP
image,read_and_write,XBM
image,writable_only,PALM
image,writable_only,PDF
image,writable_only,XV
image,readable_only,BLP
image,readable_only,CUR
image,readable_only,DCX
image,readable_only,DDS
image,readable_only,FLI
image,readable_only,FLC
image,readable_only,FPX
image,readable_only,FTEX
image,readable_only,GBR
image,readable_only,GD
image,readable_only,IMT
image,readable_only,IPTC
image,readable_only,NAA
image,readable_only,MCIDAS
image,readable_only,MIC
image,readable_only,MPO
image,readable_only,PCD
image,readable_only,PIXAR
image,readable_only,PSD
image,readable_only,TGA
image,readable_only,WAL
image,readable_only,XPM
